0.5	0.0592	0.0128
1	0.0964	0.015
1.5	0.128	0.0133
2	0.155	0.00991
2.5	0.176	0.0109
3	0.192	0.00947
3.5	0.208	0.00785
4	0.219	0.00617
4.5	0.23	0.00503
5	0.238	0.00411
5.5	0.245	0.00431
6	0.249	0.00351
6.5	0.252	0.00321
7	0.254	0.00313
7.5	0.254	0.00325
8	0.254	0.00312
8.5	0.255	0.00345
9	0.253	0.00334
9.5	0.25	0.00364
10	0.245	0.0051
10.5	0.238	0.0057
11	0.23	0.00694
11.5	0.22	0.00701
12	0.207	0.00962
12.5	0.19	0.0103
13	0.168	0.00987
13.5	0.15	0.0116
14	0.124	0.0139
14.5	0.0965	0.0122
15	0.062	0.0155
